Title,Description,Location,Date,Price,Marketed
"Spacious 4 Bedroom Flat, 3 Bedroom Flat With A 2 Bedroom On 800sqm",4 bedroom block of flats for sale,"  Egbeda, Alimosho, Lagos",Added on 11 May 2022,"₦33,000,000 ",Seyiloked International Ltd  09044165315 
Block Of 6 Nos Of 2 Bedroom With A Detached House,15 bedroom flat / apartment for sale,"  Ponle Street, Akowonjo, Alimosho, Lagos",Added on 08 Sep 2022,"₦120,000,000 ",Eden Park Integrated Services  07032095330 
4 Bedroom Duplex,4 bedroom detached duplex for sale,"  Egbeda, Akowonjo, Alimosho, Lagos",Added on 11 Sep 2022,"₦80,000,000 ",Xellencio Services  08036108444 
4 Bedroom Duplex,4 bedroom detached duplex for sale,"  Akowonjo, Egbeda, Alimosho, Lagos",Added on 11 Sep 2022,"₦120,000,000 ",Divineint Homes And Properties  +2349068611538 
A Well Maintained 4 Numbers Of 3 Bedrooms Flats. Building Converted,Block of flats for sale,"  Adewole Street, Egbeda, Alimosho, Lagos",Added on 09 Sep 2022,"₦65,000,000 ",The Home Properties. A Division Of Onozefe Uzuazor Bridget Enterprise  07034194181 
Twin 2 Bedrooms Bungalow,4 bedroom detached bungalow for sale,"  King David's Express Road, Alimosho, Lagos",Added on 08 Sep 2022,"₦14,000,000 ",Ayotola Ventures  09033421241 
Modern 2 Unit Of 3 Bedroom Flat Up And Down With C Of O,3 bedroom block of flats for sale,"  Iroko Estate, Isheri Olofin, Alimosho, Lagos",Added on 08 Sep 2022,"₦46,000,000 ",Cnn Global Properties  08060071344 
Cheap Bungalow,5 bedroom detached bungalow for sale,"  King David's Express Road, Alimosho, Lagos",Added on 08 Sep 2022,"₦11,000,000 ",Ayotola Ventures  09033421241 
"A Super 5 Bedroom Duplex With Bq, Swimming Pool",5 bedroom detached duplex for sale,"  Olorunfemi Estate,, Igando, Alimosho, Lagos",Added on 07 Sep 2022,"₦70,000,000 ",Cnn Global Properties  08060071344 
Classic 5 Bedroom Duplex,5 bedroom detached duplex for sale,"  Gowon Estate,, Egbeda, Alimosho, Lagos",Added on 07 Sep 2022,"₦110,000,000 ",Cnn Global Properties  08060071344 
